Cosine Metric,Question ID,,Open Context,,,,Question,Domain,Closes Context,Original Answer,,
,,,Context Adequacy,External Reference,No Textual Content,Illustrative Context,Question Goal,"",Tag Concordance,No Textual Content,External Reference,Illustrative Context
,73687017,Before,Medium,Another SO question,,Code,Question,Programming Languages,Medium,,,Code
,75494817,After,Medium,,,Code,Question,Programming Languages,Medium,,,
,76012769,,,,,,,,,,,
,75355962,After,Medium,,,Code,Question,Programming Languages,Medium,,,Code
,73332258,Before,Medium,,,Code,Question,General Programming Concepts,Medium,,,Code
,73032148,Before,Shalow,,,Error message,Question,DevOps,Strong,,,Code
,75341458,After,Medium,,,,Open,Framework/Library,Strong,,Documentation,Code
,73113554,Before,Shalow,,,Code,Question,Programming Languages,Medium,,,Code
,72854554,Before,Medium,,Image,Code,Question,Framework/Library,Medium,,,Code
,73131247,Before,Medium,,,Code,Question,Framework/Library,Strong,,Documentation,Code
,74960462,After,Medium,Documentation,,Code,Question,Database/SQL,Strong,,Documentation,
,73290373,Before,Medium,,,Code,Open,Programming Languages,Medium,,,Code
,74350679,Before,Medium,,,Code,Question,Programming Languages,Strong,,,Code
,75604275,After,Medium,,,Code,Question,Framework/Library,Medium,,,Code
,74891998,After,Medium,Documentation,Image,,Question,Database/SQL,,,,
,74076957,Before,Medium,External Link,,Code,Question,Programming Languages,Strong,,,Code
,75036609,After,Shalow,,,Code,Open,Web development,Weak,,,Code
,75314123,After,Medium,,,Code,Question,Tools/IDEs/Environment,Strong,,Documentation,Code
,74659206,After,Shalow,,,Code,Question,Framework/Library,Medium,,,Code
,75802832,After,Medium,,,Code,Open,Framework/Library,Medium,,Documentation,Code
,73694809,Before,Medium,,,Code,Question,Programming Languages,Weak,,,Code
,75090788,After,Medium,,,Code,Question,Tools/IDEs/Environment,Medium,Image,Documentation,Code
,75176482,After,Shalow,,,Code,Question,Programming Languages,Weak,,Another SO question,Code
,75676718,After,Strong,External Link,,Code,Question,Programming Languages,Strong,Image,,Code
,73841384,Before,Medium,,,Code,Question,Programming Languages,Strong,,,Code
,73657033,Before,Medium,,,Output,Question,Tools/IDEs/Environment,Strong,,Documentation,Code
,73683516,Before,Medium,,,Code,Question,Programming Languages,Medium,,,Code
,74929519,After,Medium,,,Error message,Open,Framework/Library,Medium,,Documentation,Code
,75650611,After,Medium,,Image,Code,Question,Programming Languages,Strong,,,Code
,75291308,After,Medium,,,Code/Error Message,Open,Framework/Library,Strong,,,Code
,75198599,After,Shalow,,,,Questions,Framework/Library,Weak,,Documentation,
,73319080,Before,Strong,,,Code/Error Message,Open,Web development,Medium,,Documentation,Code
,74933094,After,Shalow,,,,Question,DevOps,Medium,,Documentation,
,75412883,After,Shalow,,,Code,Question,Programming Languages,Medium,,,Code
,75617550,After,Strong,,,Code,Question,General Programming Concepts,Medium,,,Code
,74994173,After,Strong,,,Code/Output,Open,Database/SQL,Strong,,External Link,Code
,73746526,Before,Strong,,,Code/Output,Open,Database/SQL,,,Documentation,Code
,73515934,Before,Medium,,,Code/Output,Question,DevOps,Weak,,Documentation,Code
,73354989,Before,Medium,,,Code,Question,Programming Languages,Weak,,External Link,Code
,73920596,Before,Strong,,,Code,Question,Framework/Library,Medium,,Documentation,Code
,75196037,After,Medium,,,Code/Error Message,Question,Framework/Library,Medium,,,Code
