question_id,cosine_metric,similarity,llm,version
75727923,-0.0013968981802463531,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74227793,-0.005176821257919073,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74591448,-0.006911620497703552,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74227793,-0.009558804333209991,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73556146,-0.042690977454185486,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73556146,-0.05254907160997391,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74591448,-0.05669223517179489,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74405746,0.012179408222436905,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74606136,0.013287805020809174,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75727923,0.01637599989771843,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75726570,0.021391019225120544,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75726570,0.022445114329457283,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73760219,0.022743716835975647,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73760219,0.030099499970674515,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74405746,0.034988243132829666,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75449324,0.060328081250190735,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74606136,0.06237795576453209,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74543810,0.07035969197750092,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74639660,0.10006662458181381,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75258460,0.10621888190507889,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74543810,0.11444850265979767,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75621833,0.1552819311618805,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74746284,0.15756598114967346,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74746284,0.15835684537887573,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74652347,0.15936647355556488,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75258460,0.16390135884284973,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74437558,0.16595737636089325,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75035488,0.16895955801010132,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74639660,0.17370647192001343,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73354302,0.18498072028160095,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73299474,0.18508660793304443,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74910981,0.1879136562347412,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75621833,0.19679376482963562,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75950803,0.1974657028913498,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74086321,0.2062646746635437,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75897290,0.2067902684211731,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73354302,0.20793981850147247,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75897290,0.21129603683948517,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74086321,0.21627146005630493,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74811238,0.2217290699481964,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74910981,0.22271931171417236,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75950803,0.22503605484962463,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73535528,0.22608831524848938,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73526145,0.24123620986938477,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
72978467,0.24679668247699738,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75818472,0.24978876113891602,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74016253,0.25708749890327454,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73531936,0.2747443914413452,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75698936,0.28177163004875183,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73211933,0.28239282965660095,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74635523,0.2838778495788574,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73535528,0.2858622074127197,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75698936,0.2886195778846741,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75035488,0.28959083557128906,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74844325,0.28960120677948,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75689998,0.29248547554016113,HIGH,gpt-3.5-turbo,chat-gpt-3.5
72826154,0.297556608915329,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73211933,0.3036049008369446,LOW,meta-llama/Llama-2-7b-chat-hf,llama
74387517,0.3058530390262604,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74512385,0.3068355321884155,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75768912,0.3107975125312805,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74976717,0.3108418583869934,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74053380,0.3192657232284546,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74811238,0.3231267035007477,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75089553,0.3237150013446808,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73387665,0.32446661591529846,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73690166,0.325725793838501,LOW,meta-llama/Llama-2-7b-chat-hf,llama
72907961,0.3264991044998169,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
76030821,0.32986700534820557,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75610201,0.33251628279685974,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74016253,0.3361232876777649,LOW,meta-llama/Llama-2-7b-chat-hf,llama
74173571,0.3431392312049866,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73972027,0.34453755617141724,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
